S.no,frame_id,child_frame_id,X,Y,Z,o_x,o_y,o_z
1,-,-,-,-,-,-0.50000004002628,-2.50000011356831,-3.51838227754841E-07
2,-,-,-,-,-,-0.500000040031566,-2.50000011356928,-3.51850187762392E-07
3,-,-,-,-,-,-0.500000040036852,-2.50000011357025,-3.51862146671575E-07
4,-,-,-,-,-,-0.500000040042299,-2.50000011357125,-3.51874468434161E-07
5,-,-,-,-,-,-0.500000040047585,-2.50000011357222,-3.51886426763894E-07
6,-,-,-,-,-,-0.500000040052871,-2.50000011357319,-3.51898384614973E-07
7,-,-,-,-,-,-0.500000040058317,-2.50000011357419,-3.51910705526926E-07
8,-,-,-,-,-,-0.500000040063604,-2.50000011357516,-3.51922664460386E-07
9,-,-,-,-,-,-0.500000040068891,-2.50000011357613,-3.5193463040897E-07
10,-,-,-,-,-,-0.500000040074341,-2.50000011357713,-3.51946985620803E-07
11,-,-,-,-,-,-0.500000040079631,-2.50000011357811,-3.51958983521214E-07
12,-,-,-,-,-,-0.500000040084921,-2.50000011357908,-3.5197098156139E-07
13,-,-,-,-,-,-0.500000040090371,-2.50000011358009,-3.51983344703486E-07
14,-,-,-,-,-,-0.500000040095661,-2.50000011358107,-3.5199534471714E-07
15,-,-,-,-,-,-0.500000040100951,-2.50000011358205,-3.52007343801856E-07
16,-,-,-,-,-,-0.500000040106402,-2.50000011358305,-3.5201970427166E-07
17,-,-,-,-,-,-0.500000040111691,-2.50000011358403,-3.52031700455328E-07
18,-,-,-,-,-,-0.500000040116981,-2.500000113585,-3.52043694917274E-07
19,-,-,-,-,-,-0.500000040122431,-2.500000113586,-3.5205603987254E-07
20,-,-,-,-,-,-0.500000040127717,-2.50000011358697,-3.52068002032952E-07
21,-,-,-,-,-,-0.500000040133003,-2.50000011358794,-3.52079958722402E-07
22,-,-,-,-,-,-0.50000004013845,-2.50000011358894,-3.52092277283002E-07
23,-,-,-,-,-,-0.500000040143736,-2.50000011358991,-3.52104234801656E-07
24,-,-,-,-,-,-0.500000040149022,-2.50000011359088,-3.52116190537126E-07
