S.no,X,Y,Z_theta
1,-0.5000006739938401,-2.5000032834059995,-3.5183867386285146e-07
2,-0.5000006739991265,-2.5000032834069708,-3.5185063388556647e-07
3,-0.5000006740044128,-2.500003283407942,-3.518625928099127e-07
4,-0.5000006740098594,-2.5000032834089425,-3.518749145881223e-07
5,-0.5000006740151458,-2.5000032834099137,-3.5188687293301737e-07
6,-0.5000006740204321,-2.5000032834108845,-3.5189883079925855e-07
7,-0.5000006740258787,-2.500003283411885,-3.51911151726834e-07
8,-0.500000674031165,-2.5000032834128563,-3.5192311067545737e-07
9,-0.5000006740364528,-2.5000032834138293,-3.519350766392132e-07
10,-0.5000006740419031,-2.500003283414832,-3.5194743186671193e-07
11,-0.5000006740471931,-2.5000032834158077,-3.5195942978233586e-07
12,-0.5000006740524833,-2.500003283416785,-3.51971427837724e-07
13,-0.5000006740579337,-2.500003283417793,-3.5198379099549584e-07
14,-0.5000006740632238,-2.500003283418771,-3.519957910243658e-07
15,-0.5000006740685139,-2.50000328341975,-3.5200779012429554e-07
16,-0.5000006740739642,-2.500003283420755,-3.520201506097725e-07
17,-0.5000006740792542,-2.500003283421729,-3.520321468086504e-07
18,-0.5000006740845442,-2.500003283422702,-3.520441412858043e-07
19,-0.500000674089994,-2.500003283423704,-3.5205648625672314e-07
20,-0.5000006740952804,-2.500003283424676,-3.5206844843230315e-07
21,-0.5000006741005667,-2.5000032834256465,-3.5208040513691335e-07
22,-0.5000006741060131,-2.5000032834266475,-3.520927237131329e-07
23,-0.5000006741112996,-2.5000032834276187,-3.5210468124694814e-07
24,-0.5000006741165858,-2.5000032834285895,-3.5211663699757694e-07
25,-0.5000006741220322,-2.5000032834295904,-3.521289563665118e-07
26,-0.5000006741273186,-2.5000032834305617,-3.521409133928884e-07
27,-0.5000006741326048,-2.500003283431533,-3.521528697998588e-07
28,-0.5000006741380514,-2.500003283432533,-3.521651880502355e-07
29,-0.5000006741433378,-2.500003283433504,-3.521771447766866e-07
30,-0.500000674148624,-2.5000032834344754,-3.521891006633176e-07
31,-0.5000006741540705,-2.5000032834354755,-3.522014168340476e-07
32,-0.5000006741593567,-2.5000032834364463,-3.522133715545476e-07
33,-0.5000006741646429,-2.500003283437417,-3.522253283997341e-07
34,-0.5000006741700894,-2.5000032834384176,-3.5223764618822726e-07
35,-0.5000006741753756,-2.500003283439387,-3.5224959969433654e-07
36,-0.5000006741806603,-2.5000032834403516,-3.5226154984585347e-07
37,-0.5000006741861047,-2.500003283441344,-3.522738608737408e-07
38,-0.5000006741913887,-2.5000032834423074,-3.5228581006969915e-07
39,-0.500000674196673,-2.5000032834432724,-3.5229776010125874e-07
40,-0.5000006742021174,-2.5000032834442685,-3.523100725458325e-07
41,-0.5000006742074019,-2.5000032834452366,-3.523220240727987e-07
42,-0.5000006742126862,-2.500003283446205,-3.5233397630853827e-07
43,-0.500000674218131,-2.500003283447205,-3.523462909299557e-07
44,-0.5000006742234151,-2.5000032834481747,-3.523582434604769e-07
45,-0.5000006742286989,-2.500003283449145,-3.5237019515917077e-07
46,-0.5000006742341426,-2.500003283450144,-3.5238250897824055e-07
47,-0.5000006742394254,-2.500003283451114,-3.5239446040022357e-07
48,-0.5000006742447081,-2.5000032834520844,-3.5240641169909284e-07
49,-0.5000006742501506,-2.5000032834530836,-3.524187246429723e-07
50,-0.5000006742554332,-2.5000032834540535,-3.524306750110304e-07
51,-0.5000006742607157,-2.5000032834550225,-3.524426252451945e-07
52,-0.5000006742661584,-2.5000032834560226,-3.5245493835963894e-07
53,-0.5000006742714408,-2.500003283456992,-3.5246688901275115e-07
54,-0.5000006742767233,-2.5000032834579615,-3.5247883892301033e-07
55,-0.5000006742821659,-2.500003283458957,-3.524911493883758e-07
56,-0.4999973383893507,-2.500001534877922,5.031853950166933e-06
57,-0.4999861574851727,-2.499980182563219,8.985857032486645e-05
58,-0.49992231761869205,-2.499956908959565,0.0002497530509834886
59,-0.4997154763661523,-2.499941558754802,0.00046882003993494137
60,-0.49924692488808325,-2.4999319935964284,0.0007422249759379368
61,-0.4983563502625927,-2.4999253551171066,0.0010643286828042875
62,-0.49697187159348166,-2.4999195713239697,0.0013945925238260312
63,-0.4949626126179802,-2.499912512076879,0.0017179394518870626
64,-0.49213425855634874,-2.4999021528532284,0.0020163421494772582
65,-0.488566150745825,-2.4998876171000135,0.002243720469708057
66,-0.4841181933704327,-2.4998675338953507,0.002375071058255692
67,-0.4790208865487444,-2.4998434742711395,0.0023807045290650756
68,-0.4740702628793936,-2.4998198976615256,0.002382758834915918
69,-0.4691181117221194,-2.4997962962467226,0.002385175727367258
70,-0.4640139186799831,-2.4997719464319235,0.0023867299036649235
71,-0.45905800420900833,-2.4997482959110764,0.0023875102259262974
72,-0.4541003925248472,-2.4997246379141513,0.002387639211648326
73,-0.44899106486371526,-2.4997002645821427,0.0023871155619331545
74,-0.4440318235320957,-2.4996766190754687,0.0023850831316772915
75,-0.4390741239992139,-2.4996530185115393,0.002383333592069331
76,-0.43396841190787594,-2.4996284891023,0.0023825769069536905
77,-0.4290147444257363,-2.499604599980236,0.002392367467910046
78,-0.42406429372505194,-2.4995811872195963,0.0024549934039989423
79,-0.4189989422872085,-2.49955583465275,0.0025346720688448664
80,-0.41405562833073717,-2.4995308562534504,0.002547878449451896
81,-0.4091141594529263,-2.499505692193536,0.0025508322647326332
82,-0.40402387350915453,-2.4994797361781766,0.002555036309042285
83,-0.399082701968838,-2.4994545050466406,0.0025595686899353705
84,-0.39414026556637444,-2.4994292145092847,0.0025638674127766675
85,-0.3890464350873604,-2.499403098969902,0.0025678218236702354
86,-0.3841006959758426,-2.4993777003357516,0.0025711026292460437
87,-0.3791531669070786,-2.4993522593136723,0.0025738301156540146
88,-0.3740537845368299,-2.4993260078013955,0.0025760216721103044
89,-0.36910274251269987,-2.4993005023606765,0.002578485347764132
90,-0.36415012318040507,-2.4992749667433602,0.002581394366019907
91,-0.3590454596101321,-2.499248617215178,0.0025836361135283667
92,-0.3540891106299202,-2.4992230146242633,0.0025852715153389604
93,-0.34913111950742715,-2.4991973915275163,0.0025863855179461236
94,-0.34402158238483943,-2.4991709764532484,0.0025867638134946637
95,-0.33906267691008485,-2.499145343178548,0.002585809479371609
96,-0.3341055366492806,-2.4991197394198457,0.002585404139182986
97,-0.32900055463639105,-2.4990934392082473,0.0025862431395704487
98,-0.3240473136197128,-2.499068001279581,0.002605497184556489
99,-0.3191043748735866,-2.4990424331194143,0.00268336630696883
100,-0.31403894494003104,-2.499015051760923,0.002765221049409401
101,-0.30909428155117363,-2.498987755580026,0.0027631153277520833
102,-0.3041527153099155,-2.4989604804307897,0.0027657573272917625
103,-0.29906243798737164,-2.4989323379724677,0.002770232948991342
104,-0.29412097494989176,-2.498904978549133,0.00277472595821354
105,-0.28917815290507004,-2.498877559468171,0.002778915967013492
106,-0.28408387340615326,-2.498849251515168,0.0027827207005063155
107,-0.2791376721158259,-2.498821725418877,0.002785845332241219
108,-0.27418966226405805,-2.498794157990605,0.0027884197642398215
109,-0.2690897826264918,-2.4987657165137276,0.002790455386538385
110,-0.2641384001951723,-2.498738088258527,0.0027933462345245724
111,-0.25918527162418503,-2.4987104233246864,0.0027959756082246777
112,-0.2540801127040467,-2.4986818819954397,0.002798063079543109
113,-0.24912331312660208,-2.4986541530501443,0.002799554906257628
114,-0.24416493640132586,-2.4986264047576014,0.0028005253046656576
115,-0.239055270628107,-2.498597798762279,0.002800416709778297
116,-0.23409678646448986,-2.498570053261884,0.0027995309793010055
117,-0.2291402688113312,-2.4985423515766745,0.0027989220921952264
118,-0.22403582161358795,-2.498513891037747,0.002801779059080897
119,-0.21908263351484997,-2.498486557031573,0.002838081597793771
120,-0.21415275825777774,-2.4984584433605335,0.0029266457538335818
121,-0.20908068317866568,-2.498428690035482,0.0029943469243191414
122,-0.2041362271071724,-2.4983991329974393,0.002992279609634691
123,-0.19919506313514843,-2.498369592922979,0.002995396248670843
124,-0.19410465597782803,-2.498339117942367,0.0030000497056637417
125,-0.18916287230218734,-2.4983094849871326,0.0030045018127989958
126,-0.18421964918842465,-2.4982797922164783,0.0030085868524731526
127,-0.17912491382831805,-2.498249142080543,0.003012252439024724
128,-0.17417824496297046,-2.4982193439410514,0.0030152395712091935
129,-0.16922975443173988,-2.4981895038640305,0.0030176679893737734
130,-0.16412942453562784,-2.498158723633524,0.0030197406542313717
131,-0.15917764127728237,-2.498128824757469,0.003022791984081494
132,-0.15422402051029063,-2.498098884559536,0.0030252383467299603
133,-0.1491183728787147,-2.498068001089269,0.003027179224098715
134,-0.14416113667086422,-2.4980379996049784,0.0030285292248031274
135,-0.13920240251892044,-2.4980079800014585,0.0030293537392404204
136,-0.13409278646326914,-2.4979770364103318,0.0030287887243511035
137,-0.1291347722191935,-2.4979470311141556,0.0030280099045656684
138,-0.12417892384968238,-2.497917073703618,0.0030275013367971853
139,-0.11907495314863067,-2.4978863296207563,0.003033536471191811
140,-0.11412239121861509,-2.4978569046877985,0.0030915581129997895
141,-0.10920655329140447,-2.497826199926496,0.003188448962118332
142,-0.10412334121216013,-2.4977937840664857,0.0032312225463069113
143,-0.09918093898850515,-2.4977618717049195,0.0032334166236699276
144,-0.09424033278558656,-2.497729941327824,0.00323727536846808
145,-0.08914968728684677,-2.497697008548936,0.0032419911952374907
146,-0.08420755744774716,-2.497664982668079,0.0032463630775829352
147,-0.07926392004138955,-2.4976328969296517,0.0032503154150395606
148,-0.07416872229812528,-2.4975997817027182,0.0032538234295051063
149,-0.06922158194883475,-2.4975675921468645,0.0032566615137519387
150,-0.06427260787498311,-2.4975353603193073,0.00325892686389085
151,-0.05917186947729114,-2.497502119453221,0.0032611918123853817
152,-0.054219640952644456,-2.4974698284535686,0.003264217932157474
153,-0.04926553565499022,-2.497437494221772,0.003266509167169292
154,-0.044159408980868925,-2.4974041458800547,0.003268305934869567
155,-0.03920175359901063,-2.497371752781954,0.0032695182937136423
156,-0.03424270766065906,-2.4973393422492003,0.003270162240953243
157,-0.029133315636007937,-2.497305941773569,0.003269245275924014
